host_since,first_review,neighbourhood_cleansed
2012-04-07,2014-04-27,ΠΑΓΚΡΑΤΙ
2014-03-06,2014-09-07,ΝΕΟΣ ΚΟΣΜΟΣ
2014-03-10,2014-06-10,ΛΥΚΑΒΗΤΤΟΣ
2014-03-12,2014-04-23,ΙΛΙΣΙΑ
2014-03-17,2014-06-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-03-21,2014-04-29,ΚΟΛΩΝΑΚΙ
2014-03-21,2014-04-17,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2013-04-13,2014-06-22,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-03-24,2014-05-07,ΘΗΣΕΙΟ
2014-03-13,2014-06-12,ΑΜΠΕΛΟΚΗΠΟΙ
2009-09-08,2015-11-23,ΑΜΠΕΛΟΚΗΠΟΙ
2014-03-29,2014-05-19,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-03-31,2014-05-05,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-04-01,2014-04-27,ΑΜΠΕΛΟΚΗΠΟΙ
2014-03-29,2016-10-16,ΠΑΓΚΡΑΤΙ
2014-04-06,2014-04-23,ΠΑΓΚΡΑΤΙ
2014-04-07,2014-05-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-04-06,2014-05-07,ΠΑΓΚΡΑΤΙ
2014-04-09,2014-06-02,ΝΙΡΒΑΝΑ
2010-06-23,2014-05-21,ΑΜΠΕΛΟΚΗΠΟΙ
2014-02-16,2017-05-16,ΘΗΣΕΙΟ
2011-11-17,2014-07-31,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-04-18,2014-06-20,ΑΜΠΕΛΟΚΗΠΟΙ
2014-04-21,2014-05-06,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-02-28,2014-05-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-04-09,2014-06-05,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2010-12-18,2014-05-20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-04-03,2014-06-02,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-04-14,2014-06-14,ΚΟΛΟΚΥΝΘΟΥ
2014-01-03,2014-06-23,ΓΟΥΒΑ
2011-05-09,2014-05-23,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-05-01,2018-09-29,ΚΟΛΩΝΑΚΙ
2013-10-29,2014-05-29,ΠΑΓΚΡΑΤΙ
2014-05-06,2014-05-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-05-07,2014-08-17,ΠΑΓΚΡΑΤΙ
2013-02-10,2014-07-22,ΠΕΝΤΑΓΩΝΟ
2014-05-13,2017-06-23,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-05-18,2014-06-03,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-05-04,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-03-21,2014-05-22,ΑΚΡΟΠΟΛΗ
2014-05-26,,ΖΑΠΠΕΙΟ
2014-05-27,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2012-05-04,2014-10-22,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-04,2014-06-21,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-04,2014-09-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-04,2014-07-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-04,2014-07-03,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-02-28,2014-06-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-06-06,2014-06-30,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-06-10,2014-06-24,ΑΜΠΕΛΟΚΗΠΟΙ
2014-05-01,2014-06-30,ΠΑΤΗΣΙΑ
2014-06-12,2014-08-19,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-06-13,2016-06-22,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-03-09,2014-06-27,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2011-10-25,2014-09-06,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-06-18,2014-06-23,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2011-11-17,2014-08-22,ΚΕΡΑΜΕΙΚΟΣ
,2014-07-02,ΙΛΙΣΙΑ
2011-06-16,2014-08-23,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-04-21,2014-07-07,ΚΕΡΑΜΕΙΚΟΣ
2011-06-27,2014-07-27,ΚΟΛΩΝΑΚΙ
